"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata000693",2,0,0,0,7,1,2,0,0,0,0,8,10,0,0,3,0,1,12
"Ofaveolata000696",36,18,15,3,33,54,12,10,4,0,0,83,33,19,1,20,1,31,63
"Ofaveolata000698",40,9,20,3,71,32,0,8,9,4,0,61,36,27,0,19,1,37,102
"Ofaveolata000707",7,0,6,0,6,19,0,1,1,4,0,20,15,0,6,1,0,1,20
"Ofaveolata000708",0,0,0,1,5,3,7,0,1,0,0,15,11,5,0,0,1,0,5
"Ofaveolata000709",83,44,66,14,113,70,71,26,64,13,4,200,99,52,24,82,24,82,145
"Ofaveolata000718",9,6,22,4,30,31,20,11,8,1,3,32,35,16,1,1,6,15,33
"Ofaveolata000722",4,8,0,0,8,2,0,0,6,0,0,11,1,0,0,0,0,2,18
"Ofaveolata000723",74,31,29,37,118,79,69,27,14,15,23,73,61,16,15,24,10,52,140
"Ofaveolata000725",13,5,2,0,8,13,0,0,2,0,0,23,9,0,9,0,0,14,21
"Ofaveolata000726",7,0,0,0,7,17,4,3,1,0,0,21,7,0,0,0,0,1,21
"Ofaveolata000727",53,4,26,3,66,30,23,23,6,0,0,75,30,1,7,22,1,32,97
"Ofaveolata000728",4,0,1,1,8,3,2,0,3,0,0,11,6,0,2,0,0,0,21
"Ofaveolata000730",0,2,2,0,6,3,3,2,0,0,0,22,10,1,0,0,0,5,20
"Ofaveolata000732",15,1,6,4,15,6,5,6,1,1,1,38,16,1,0,7,0,14,31
"Ofaveolata000733",5,6,0,0,3,12,3,0,0,0,0,12,6,0,0,0,0,1,32
"Ofaveolata000734",40,130,7,5,30,27,19,2,1,0,0,42,14,5,0,10,0,22,453
"Ofaveolata000738",6,3,7,1,12,19,6,2,0,1,0,19,11,5,1,12,0,7,20
"Ofaveolata000741",3,9,2,9,3,14,1,1,0,0,0,7,3,0,0,0,0,3,14
"Ofaveolata000742",10,0,2,0,2,16,4,0,0,0,0,4,3,0,0,3,0,0,28
"Ofaveolata000749",54,50,14,17,74,36,19,8,6,0,1,106,65,8,8,17,1,21,110
"Ofaveolata000756",20,5,5,1,10,7,0,4,0,0,2,6,3,1,0,7,0,2,15
"Ofaveolata000764",31,18,16,4,79,46,22,34,8,2,0,54,50,7,0,9,2,24,56
"Ofaveolata000766",0,0,1,0,3,0,0,0,0,0,0,13,2,0,0,0,0,0,30
"Ofaveolata000767",15,0,3,3,29,23,9,11,17,1,0,69,32,1,4,5,0,24,101
"Ofaveolata000769",6,8,2,0,2,31,0,0,1,0,0,15,12,22,0,0,2,6,20
"Ofaveolata000770",5,5,0,0,8,14,8,1,0,0,0,15,9,2,0,0,2,7,19
"Ofaveolata000772",24,0,14,2,72,10,19,19,3,0,0,97,43,10,7,14,4,18,132
"Ofaveolata000774",84,54,45,18,119,131,72,35,19,4,4,112,27,8,10,36,3,45,192
"Ofaveolata000778",74,64,9,6,9,86,15,7,0,0,0,29,5,11,0,2,0,9,208
"Ofaveolata000784",64,10,21,1,108,52,6,18,1,0,9,68,43,12,7,1,0,25,150
"Ofaveolata000787",6,0,7,0,8,22,5,0,0,0,0,12,7,2,0,4,0,6,13
"Ofaveolata000789",22,8,6,15,14,13,14,2,0,0,0,16,10,2,0,0,0,11,30
"Ofaveolata000796",20,0,5,0,24,13,3,0,2,0,0,18,16,1,0,8,0,7,45
"Ofaveolata000797",53,25,15,16,75,77,28,14,5,4,0,108,61,12,10,47,7,32,151
"Ofaveolata000798",45,13,17,0,37,50,8,5,5,0,0,49,31,2,0,19,0,35,51
"Ofaveolata000800",19,7,5,0,47,35,21,0,6,0,0,67,15,4,1,27,0,6,66
"Ofaveolata000805",9,0,2,0,9,6,6,2,0,0,0,19,9,0,0,0,0,9,32
"Ofaveolata000808",100,35,4,1,75,20,3,2,0,0,0,79,41,0,0,0,0,27,74
"Ofaveolata000809",52,17,42,10,88,46,40,30,9,1,0,78,69,27,4,32,4,46,132
"Ofaveolata000812",150,44,28,4,342,73,14,4,12,8,6,85,44,13,24,18,3,40,168
