"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata005040",7,0,5,0,11,6,1,5,9,4,0,13,10,6,0,14,0,0,4
"Ofaveolata005042",30,32,3,8,36,43,14,1,2,0,0,28,10,5,2,1,2,9,48
"Ofaveolata005043",82,63,47,6,98,73,65,59,26,6,3,140,88,83,9,64,3,79,326
"Ofaveolata005044",69,14,18,24,121,64,25,15,15,0,5,96,68,7,12,48,2,41,195
"Ofaveolata005048",43,21,6,2,31,57,9,1,0,0,1,82,41,4,3,2,1,14,73
"Ofaveolata005056",52,8,22,1,44,50,20,8,10,1,0,72,51,12,0,30,0,22,97
"Ofaveolata005058",44,13,10,7,86,20,21,6,4,1,2,55,28,12,0,4,0,11,69
"Ofaveolata005062",45,13,7,0,51,24,10,0,11,1,0,51,28,5,9,30,0,18,102
"Ofaveolata005063",40,30,19,4,25,33,17,8,1,0,0,55,33,1,5,13,0,18,61
"Ofaveolata005065",60,25,18,8,47,38,10,5,9,0,2,35,27,7,2,3,0,10,87
"Ofaveolata005067",83,38,7,2,12,15,10,5,4,0,3,18,25,2,3,14,0,10,26
"Ofaveolata005068",45,8,15,1,71,25,19,18,0,0,3,129,65,13,5,27,5,39,222
"Ofaveolata005074",19,3,10,0,29,15,7,15,8,0,0,50,31,4,0,8,0,17,55
"Ofaveolata005076",47,14,22,13,70,64,19,13,13,2,0,60,30,23,5,7,5,24,132
"Ofaveolata005077",329,183,132,56,344,401,225,73,83,11,27,250,174,43,39,172,13,179,331
"Ofaveolata005078",49,17,30,5,88,30,41,22,28,2,1,130,79,30,0,26,1,43,139
"Ofaveolata005080",19,0,9,2,42,10,18,6,10,0,1,24,13,1,30,14,2,4,22
"Ofaveolata005081",2,1,6,0,15,2,2,3,0,0,0,11,5,0,0,5,0,11,31
"Ofaveolata005082",4,2,0,1,13,4,3,11,0,0,7,19,7,15,2,17,0,14,33
"Ofaveolata005083",9,14,5,3,25,24,21,10,4,4,5,21,17,34,6,12,2,17,28
"Ofaveolata005089",40,6,10,4,58,26,13,9,11,1,0,103,34,13,0,4,2,12,97
"Ofaveolata005092",9,0,6,0,15,15,6,2,1,0,8,36,22,9,2,2,0,14,51
"Ofaveolata005093",41,2,2,2,27,20,10,0,6,0,0,42,24,4,0,19,0,20,34
"Ofaveolata005096",25,3,14,7,17,12,16,20,0,0,0,35,23,1,11,19,0,6,51
"Ofaveolata005098",60,42,39,27,65,49,34,25,14,12,12,114,83,70,11,69,0,52,128
"Ofaveolata005099",53,18,11,23,56,35,20,20,12,5,1,81,36,8,9,16,1,24,113
"Ofaveolata005100",278,104,89,104,254,283,232,75,32,10,22,211,155,86,7,150,13,99,499
"Ofaveolata005101",1,3,2,1,6,9,2,1,0,0,0,20,13,0,0,2,0,14,18
"Ofaveolata005102",65,24,9,1,29,59,12,2,15,8,0,55,72,27,6,33,5,45,5
"Ofaveolata005103",36,15,86,55,249,137,242,106,34,0,7,187,142,61,4,59,9,75,328
"Ofaveolata005104",255,116,68,42,241,225,94,73,60,0,10,190,120,51,39,47,10,101,385
"Ofaveolata005110",39,22,10,4,59,52,14,5,7,0,0,80,30,8,0,18,2,12,73
"Ofaveolata005115",53,2,14,5,79,26,23,6,0,0,0,107,44,1,1,9,0,18,144
"Ofaveolata005119",1,0,1,0,10,1,1,0,0,0,0,8,9,0,0,1,0,1,14
"Ofaveolata005121",48,10,33,1,32,58,66,25,1,8,0,172,44,23,0,13,1,88,232
"Ofaveolata005122",24,2,10,0,49,35,10,12,1,0,0,67,30,6,1,18,0,43,52
"Ofaveolata005124",23,11,6,0,15,14,0,0,0,0,0,24,7,0,0,0,0,8,40
"Ofaveolata005125",1,0,7,2,8,9,12,4,4,0,0,18,7,0,0,4,0,8,12
"Ofaveolata005126",10,8,9,2,19,10,9,6,1,0,6,19,12,3,3,4,1,16,33
"Ofaveolata005127",6,0,3,0,7,5,6,0,5,0,0,11,12,2,1,0,0,1,14
"Ofaveolata005131",4,1,2,1,4,4,3,5,2,0,0,19,11,4,1,1,0,4,8
"Ofaveolata005132",80,19,5,18,9,41,1,3,0,5,0,12,9,2,0,14,0,4,29
"Ofaveolata005137",9,1,2,0,10,8,0,2,0,0,0,15,15,1,0,5,0,7,29
"Ofaveolata005140",55,26,23,8,19,28,13,3,6,1,3,43,35,11,0,13,0,22,61
"Ofaveolata005141",55,33,42,4,53,55,22,21,26,1,6,89,59,4,1,38,0,44,207
"Ofaveolata005142",4,12,11,5,14,6,1,0,0,0,0,10,5,4,0,3,0,0,35
"Ofaveolata005145",8,1,1,10,16,0,2,2,0,0,0,10,1,0,7,4,0,0,16
"Ofaveolata005154",9,3,0,0,10,1,4,0,0,0,1,12,3,0,0,2,0,0,28
"Ofaveolata005157",110,18,29,19,191,59,49,28,15,6,5,241,130,22,32,66,3,90,222
"Ofaveolata005160",15,10,9,0,24,15,6,4,0,2,7,25,14,1,0,8,4,6,43
"Ofaveolata005161",3,0,5,0,14,0,0,0,0,0,0,6,4,0,6,0,0,5,12
"Ofaveolata005162",98,28,34,25,126,84,58,48,14,10,9,105,57,36,1,20,4,43,120
"Ofaveolata005163",9,3,11,0,30,11,3,9,2,1,0,43,22,2,1,8,1,13,68
"Ofaveolata005164",19,7,15,13,24,16,24,6,3,1,0,18,16,2,1,9,2,10,50
"Ofaveolata005165",5,3,8,8,5,5,8,8,4,0,0,13,8,0,2,0,1,9,23
"Ofaveolata005171",19,8,1,3,0,3,1,7,0,0,0,36,6,1,0,2,0,1,36
"Ofaveolata005173",11,17,4,9,14,76,16,4,1,4,0,32,13,0,0,4,2,3,45
"Ofaveolata005175",14,0,0,0,45,18,0,2,1,0,0,35,17,0,1,3,0,8,70
"Ofaveolata005176",137,32,78,26,315,144,55,64,44,16,0,426,192,55,4,80,2,112,526
"Ofaveolata005179",4,0,5,0,0,3,1,1,0,0,0,17,3,1,0,9,0,2,12
"Ofaveolata005180",2,0,0,0,11,3,2,0,0,0,0,7,1,0,0,0,0,2,28
"Ofaveolata005192",56,61,19,15,12,53,17,1,4,1,6,29,12,1,0,10,1,21,51
"Ofaveolata005193",6,0,0,0,7,14,0,0,0,0,0,13,4,0,0,0,0,8,14
"Ofaveolata005194",57,15,24,4,90,83,34,13,5,0,0,141,74,9,8,43,2,43,146
"Ofaveolata005195",1,0,1,0,1,0,1,0,0,1,0,2,3,0,0,11,0,3,19
"Ofaveolata005196",20,0,8,5,22,10,3,18,4,0,0,26,8,5,0,8,1,1,36
"Ofaveolata005198",85,15,32,19,173,111,63,59,1,15,3,227,87,25,6,21,0,86,301
"Ofaveolata005201",228,56,30,10,423,81,62,29,3,9,12,64,40,10,22,25,1,45,185
"Ofaveolata005211",23,1,6,1,6,20,9,0,0,0,0,11,14,0,0,2,0,2,26
"Ofaveolata005213",6,16,5,2,10,8,11,12,1,1,0,20,21,7,2,16,0,9,18
"Ofaveolata005218",11,0,25,1,15,73,15,45,14,0,0,220,138,20,0,16,1,61,242
"Ofaveolata005219",1,1,4,0,1,0,0,1,0,0,0,12,9,7,2,1,0,4,13
"Ofaveolata005221",48,69,15,1,45,125,13,1,0,0,0,74,55,1,4,26,0,40,256
"Ofaveolata005222",58,21,11,8,41,48,8,8,17,5,0,53,32,8,5,20,0,20,55
"Ofaveolata005223",58,12,20,1,62,53,10,7,10,11,3,73,35,7,27,17,1,25,109
"Ofaveolata005224",77,153,22,18,53,128,42,13,23,6,3,111,43,5,0,15,10,207,1102
"Ofaveolata005225",11,8,6,0,16,5,3,12,0,0,1,13,8,0,0,3,0,1,13
"Ofaveolata005226",97,11,15,1,97,71,21,14,8,0,2,99,35,6,7,50,1,24,111
"Ofaveolata005228",142,30,61,20,281,127,75,56,40,19,14,225,167,71,30,80,12,69,248
"Ofaveolata005229",3,1,4,4,10,7,2,0,0,0,0,16,3,0,0,1,0,6,43
"Ofaveolata005230",7,1,1,5,15,9,14,3,0,0,1,15,11,8,2,10,0,8,27
"Ofaveolata005231",31,48,6,1,19,36,6,0,0,0,0,22,10,1,6,0,0,18,31
"Ofaveolata005232",49,39,10,4,26,36,8,8,2,1,4,48,15,6,0,8,0,9,72
"Ofaveolata005233",11,8,11,0,14,13,24,12,6,0,0,42,36,12,1,12,1,7,99
"Ofaveolata005234",8,0,1,0,14,4,5,1,5,0,9,17,6,1,0,2,0,5,27
"Ofaveolata005235",16,0,3,0,11,6,1,1,0,0,0,5,4,0,0,0,0,0,57
"Ofaveolata005237",8,12,20,6,48,22,24,4,12,4,0,47,17,11,0,5,0,20,49
"Ofaveolata005238",50,48,1,14,1,70,0,4,0,4,0,20,2,5,0,1,0,3,67
"Ofaveolata005239",10,4,0,0,24,8,0,0,0,0,9,1,0,0,0,0,0,0,8
"Ofaveolata005242",148,41,39,12,155,98,55,25,16,4,0,176,80,28,27,36,2,59,235
"Ofaveolata005245",2,4,3,1,5,9,3,5,6,0,1,20,10,0,0,0,0,3,38
"Ofaveolata005246",27,3,14,1,38,17,11,19,2,0,1,35,24,21,0,3,0,26,75
"Ofaveolata005247",16,2,1,3,15,26,1,11,2,0,0,20,12,0,0,2,0,4,30
"Ofaveolata005249",19,1,17,0,34,7,8,6,3,3,0,56,21,12,5,22,2,16,76
"Ofaveolata005253",323,68,155,54,836,132,200,113,155,30,52,422,306,138,36,159,18,243,298
"Ofaveolata005254",20,4,16,4,12,15,13,3,5,0,1,38,27,25,0,3,0,9,71
"Ofaveolata005255",89,14,40,17,107,91,41,28,28,5,7,167,90,76,0,52,3,68,213
"Ofaveolata005258",6,0,8,0,10,11,1,10,8,0,0,50,21,4,0,4,0,12,51
"Ofaveolata005260",28,4,2,3,54,19,9,10,3,0,2,57,22,6,0,6,1,12,36
"Ofaveolata005263",308,50,30,23,38,321,74,12,14,2,6,55,39,10,7,9,3,31,526
"Ofaveolata005269",18,0,7,8,35,28,18,8,11,0,1,19,6,4,21,6,0,12,37
"Ofaveolata005270",12,1,2,5,10,11,2,1,0,0,0,23,3,1,0,0,0,4,26
"Ofaveolata005273",43,32,16,7,41,36,36,5,16,3,12,74,33,24,0,23,0,35,126
"Ofaveolata005275",5,1,10,0,12,8,4,5,1,0,0,8,5,6,2,5,0,8,19
"Ofaveolata005281",5,10,1,0,0,6,2,0,0,0,0,12,1,1,0,3,0,5,45
"Ofaveolata005282",36,7,10,1,37,25,3,8,0,1,1,60,38,1,1,10,1,13,74
"Ofaveolata005284",75,45,15,12,9,70,22,1,1,2,1,28,21,7,0,14,1,40,272
"Ofaveolata005285",79,98,29,14,19,78,24,7,0,6,6,22,10,3,11,10,4,38,346
"Ofaveolata005288",83,54,36,29,55,42,38,6,78,4,23,66,41,37,36,70,6,19,38
"Ofaveolata005292",8,8,0,0,9,1,2,0,0,0,0,10,3,0,0,0,0,2,11
"Ofaveolata005296",790,445,946,357,2111,1457,1048,668,525,83,138,3267,2244,769,50,1085,83,1421,3975
"Ofaveolata005297",11,7,5,0,9,12,5,0,2,0,0,7,6,4,1,3,3,1,30
"Ofaveolata005298",103,21,21,6,146,56,27,7,2,1,1,65,35,2,6,29,0,32,150
"Ofaveolata005300",2230,814,645,274,1474,1703,886,555,285,66,102,2142,1380,549,196,797,64,859,4221
"Ofaveolata005301",106,71,27,12,259,109,83,36,38,6,4,370,169,71,9,69,1,100,188
"Ofaveolata005304",8,6,3,0,16,18,5,5,1,0,3,18,9,4,0,12,0,4,37
"Ofaveolata005305",31,27,11,1,41,12,19,13,1,3,2,68,25,16,0,10,0,21,92
"Ofaveolata005306",20,15,11,11,22,37,31,2,11,2,8,25,7,3,6,8,0,16,43
"Ofaveolata005307",33,2,6,0,66,24,15,3,9,3,10,42,18,8,15,27,1,20,49
"Ofaveolata005308",56,63,3,17,64,81,18,4,7,1,6,35,24,10,13,13,2,12,64
"Ofaveolata005309",8,12,1,4,5,14,3,3,0,0,0,31,6,0,0,0,0,11,29
"Ofaveolata005310",5,0,0,0,2,0,0,0,0,0,0,13,2,0,0,0,0,2,11
"Ofaveolata005311",10,8,1,1,28,12,8,0,0,6,0,35,8,5,1,4,0,5,27
"Ofaveolata005312",12,0,0,6,28,17,1,2,5,0,0,33,13,0,0,0,0,9,13
"Ofaveolata005321",8,1,5,4,54,32,9,1,6,0,0,33,15,0,4,9,0,3,90
"Ofaveolata005322",11,0,2,1,42,27,0,13,0,0,0,38,10,7,0,0,0,8,81
"Ofaveolata005326",19,6,1,0,78,8,5,0,1,0,1,13,5,1,5,3,0,11,40
"Ofaveolata005339",4,5,0,0,0,2,0,0,0,0,0,22,3,0,16,0,0,7,2
"Ofaveolata005343",11,0,19,2,11,8,8,3,5,2,4,6,7,5,0,2,0,5,50
"Ofaveolata005344",12,1,5,0,21,5,8,12,1,13,0,29,7,1,0,5,1,6,31
"Ofaveolata005347",51,30,18,0,36,27,23,19,10,0,0,98,35,13,5,25,1,26,150
"Ofaveolata005349",4,0,5,0,6,16,1,0,0,8,0,8,13,8,5,18,0,13,4
"Ofaveolata005355",1,0,8,0,21,10,0,2,0,0,0,32,8,0,7,1,0,4,44
"Ofaveolata005359",275,162,56,38,242,227,77,40,28,11,15,224,79,11,48,68,2,90,232
"Ofaveolata005366",8,0,1,0,3,0,3,2,0,0,0,31,6,4,5,4,0,3,23
"Ofaveolata005367",5,5,1,0,15,7,6,1,0,0,2,11,9,6,1,5,0,4,22
"Ofaveolata005370",13,4,6,1,32,15,5,4,0,0,0,31,26,1,1,3,1,5,60
"Ofaveolata005381",4,0,12,1,12,9,5,11,2,1,0,32,9,10,2,5,0,2,29
"Ofaveolata005384",5,1,0,0,16,5,9,6,0,0,4,13,9,0,0,2,0,5,26
"Ofaveolata005386",138,57,74,17,323,114,53,14,12,16,23,145,96,48,10,49,0,88,215
"Ofaveolata005388",4,0,6,0,2,14,13,1,4,0,0,19,12,0,0,18,0,13,50
"Ofaveolata005389",0,0,3,0,1,2,5,1,5,6,0,16,8,15,0,6,0,3,7
"Ofaveolata005391",7,4,1,0,2,12,0,0,0,0,0,5,8,0,0,7,0,3,20
"Ofaveolata005407",11,8,1,0,8,22,4,7,1,0,0,4,2,2,3,1,2,2,19
"Ofaveolata005409",180,65,22,3,132,44,11,31,5,0,6,207,106,8,0,11,1,38,235
"Ofaveolata005410",9,0,2,0,28,14,2,14,1,0,0,55,30,4,0,13,1,11,121
"Ofaveolata005416",37,2,6,1,46,14,6,8,1,1,17,33,31,7,0,10,2,20,10
"Ofaveolata005417",32,8,15,3,31,23,12,8,5,0,0,32,16,1,5,13,3,11,48
"Ofaveolata005418",1998,489,70,29,3135,409,88,72,62,1,74,372,244,105,676,586,14,340,515
"Ofaveolata005419",66,17,0,0,134,14,0,4,0,0,4,31,2,0,13,11,0,12,42
"Ofaveolata005420",16,1,1,0,11,6,3,2,1,0,1,22,7,0,2,4,0,3,24
"Ofaveolata005425",1238,251,3,0,631,0,6,0,19,0,12,0,1,0,32,13,0,3,2
"Ofaveolata005426",1204,373,0,1,932,1,0,0,5,0,20,2,3,0,13,6,0,8,11
"Ofaveolata005428",314,20,7,1,137,1,0,0,0,0,10,19,8,0,473,0,0,4,3
"Ofaveolata005430",21,0,1,0,21,10,5,6,0,0,0,17,7,0,0,8,0,3,33
"Ofaveolata005431",137,229,239,187,151,304,300,179,142,41,37,303,275,225,22,298,43,301,436
"Ofaveolata005433",6,0,2,0,5,7,0,0,0,0,0,19,2,0,0,0,0,5,21
"Ofaveolata005434",369,222,52,70,528,142,93,29,47,12,49,131,90,31,22,67,6,77,415
"Ofaveolata005435",5,0,9,0,9,2,0,0,11,0,0,17,6,0,0,1,0,9,28
"Ofaveolata005447",8,0,2,0,25,5,16,1,0,0,1,8,5,2,0,0,0,0,11
"Ofaveolata005451",1,0,60,48,1,18,13,43,15,8,0,112,64,7,1,6,2,43,24
"Ofaveolata005453",12,0,20,0,0,14,10,4,18,0,0,85,43,16,3,5,0,23,56
"Ofaveolata005454",60,10,5,0,86,33,13,12,9,0,3,28,24,3,0,5,0,14,83
"Ofaveolata005455",6,0,2,0,4,7,4,9,0,0,0,14,10,0,0,0,0,9,34
"Ofaveolata005456",95,15,41,2,121,53,43,32,16,15,5,115,68,40,9,58,6,54,119
"Ofaveolata005457",20,9,1,0,19,12,5,6,0,5,4,23,9,4,0,4,2,3,55
"Ofaveolata005458",11,3,7,6,24,7,6,1,6,0,0,17,22,3,2,6,0,7,63
"Ofaveolata005461",7,0,21,8,27,8,6,11,1,12,0,49,35,7,4,20,1,18,102
"Ofaveolata005462",4,0,0,0,4,13,4,3,1,0,0,13,5,0,0,1,1,2,22
"Ofaveolata005463",137,12,45,5,263,95,42,28,7,5,4,225,98,45,7,38,1,65,312
"Ofaveolata005467",24,13,3,0,41,29,2,5,8,0,0,60,18,12,0,1,0,20,99
"Ofaveolata005468",130,39,50,14,198,103,68,26,10,3,3,191,81,36,4,58,7,57,202
"Ofaveolata005470",5,0,11,0,54,7,4,3,0,0,0,39,20,0,0,9,0,2,82
"Ofaveolata005473",58,18,19,0,42,35,21,15,2,0,2,70,26,11,0,9,2,21,65
"Ofaveolata005474",3,0,36,14,23,75,32,36,33,8,0,263,147,34,1,12,1,68,159
"Ofaveolata005475",181,116,139,81,157,540,259,62,63,2,22,378,243,103,5,118,11,226,961
"Ofaveolata005477",5,0,6,0,9,29,5,4,0,0,0,65,40,8,0,5,0,19,42
"Ofaveolata005480",31,25,9,0,114,25,4,7,0,10,7,27,35,11,9,6,1,11,85
"Ofaveolata005483",8,2,5,0,45,8,7,4,0,0,0,29,16,0,2,16,0,9,42
"Ofaveolata005484",10,5,6,0,17,6,4,0,4,0,0,22,9,2,0,7,0,8,35
"Ofaveolata005486",43,20,16,9,112,38,40,20,7,15,11,103,67,25,86,54,0,47,50
"Ofaveolata005489",49,10,4,2,28,24,2,11,1,0,1,41,18,16,7,12,0,5,45
"Ofaveolata005490",19,3,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,170
"Ofaveolata005491",36,10,10,0,29,17,8,4,2,0,0,47,20,10,2,3,0,7,79
"Ofaveolata005492",38,49,3,0,24,18,11,5,0,0,1,31,4,1,18,9,0,6,61
"Ofaveolata005494",3,0,16,5,2,15,25,9,6,0,1,69,44,7,0,8,3,26,68
"Ofaveolata005497",209,64,64,16,590,113,80,64,31,0,10,242,170,48,6,80,3,117,337
"Ofaveolata005498",2,2,3,0,5,0,0,0,0,0,0,11,14,0,0,6,0,2,12
"Ofaveolata005499",13,0,7,0,16,13,10,6,0,0,0,34,25,3,0,9,0,20,71
"Ofaveolata005500",70,40,1,0,148,41,2,5,0,0,0,23,8,0,37,16,0,11,131
"Ofaveolata005501",13,0,8,4,22,8,2,3,0,0,0,32,14,7,0,6,0,9,39
"Ofaveolata005502",5,4,3,2,14,10,9,2,7,0,0,26,9,5,0,0,0,8,31
"Ofaveolata005503",29,4,16,13,55,25,19,3,9,0,0,75,35,19,0,14,1,24,73
"Ofaveolata005504",24,7,13,1,57,25,19,8,12,0,0,64,28,14,0,7,0,26,77
"Ofaveolata005505",199,245,72,72,164,281,117,72,32,1,20,286,147,74,31,132,9,156,478
"Ofaveolata005506",13,0,3,13,22,16,4,0,0,0,6,56,36,10,0,9,0,5,58
"Ofaveolata005507",3,0,2,0,9,6,0,0,0,0,0,18,6,0,0,0,0,3,13
"Ofaveolata005508",120,81,1,0,28,11,8,2,0,0,0,37,5,0,5,10,0,4,99
"Ofaveolata005509",16,6,1,0,4,29,4,4,16,0,2,13,8,0,0,0,0,6,19
"Ofaveolata005510",93,90,20,6,59,128,15,6,9,0,5,80,31,7,8,10,2,23,246
"Ofaveolata005511",105,44,64,6,153,97,54,54,13,1,5,171,77,21,19,57,7,55,243
"Ofaveolata005513",1,0,4,0,9,6,1,4,4,0,0,14,12,6,0,5,2,7,31
"Ofaveolata005514",19,0,0,8,23,21,19,2,9,0,0,32,14,4,0,21,0,5,46
"Ofaveolata005516",0,1,10,4,35,27,1,18,0,0,0,88,42,13,0,7,0,24,89
"Ofaveolata005519",5,0,6,0,9,11,16,4,11,0,0,28,16,0,1,11,0,19,28
"Ofaveolata005520",16,0,5,0,18,21,7,1,5,0,0,26,8,2,0,2,0,13,57
"Ofaveolata005521",43,1,23,4,167,33,28,9,10,0,3,87,45,18,2,11,0,28,131
"Ofaveolata005522",11,0,7,6,10,9,9,8,7,0,3,16,9,14,0,9,1,7,19
"Ofaveolata005524",13,9,1,0,12,0,4,6,0,0,0,4,1,0,0,0,0,1,110
"Ofaveolata005525",32,5,49,3,5,33,33,15,22,0,0,57,32,2,0,11,0,9,169
"Ofaveolata005528",15,1,5,1,27,8,11,8,11,1,0,43,25,9,0,29,1,9,54
"Ofaveolata005531",8,2,18,2,18,13,6,15,2,0,9,21,11,6,0,3,0,2,25
"Ofaveolata005532",5,0,1,0,16,4,7,2,1,0,0,12,9,0,2,0,1,3,23
"Ofaveolata005543",5,0,0,0,1,10,0,0,0,1,0,12,2,14,0,3,0,0,16
"Ofaveolata005545",41,4,70,12,117,84,42,61,25,0,15,276,134,100,13,124,2,98,222
"Ofaveolata005546",2,1,0,1,8,28,1,4,0,0,0,4,4,0,3,7,0,3,31
"Ofaveolata005555",3,0,10,0,9,16,5,1,0,0,0,36,18,5,0,20,0,9,35
"Ofaveolata005556",2,0,3,0,2,3,1,3,0,0,0,15,2,0,0,0,0,1,15
"Ofaveolata005561",93,1,16,20,170,97,30,32,21,8,4,157,89,15,9,40,1,55,188
"Ofaveolata005563",27,11,17,3,26,20,1,1,3,0,0,33,8,1,4,6,7,3,71
"Ofaveolata005565",14,8,5,0,7,8,2,0,0,1,8,14,6,0,0,4,0,5,26
"Ofaveolata005567",68,16,13,18,89,54,15,21,1,0,11,57,36,16,5,22,1,25,74
"Ofaveolata005568",40,5,15,7,40,49,19,11,4,0,1,73,41,15,0,9,3,26,140
"Ofaveolata005570",22,0,1,0,21,11,3,0,0,0,0,12,4,1,9,3,0,9,34
"Ofaveolata005571",318,149,985,109,394,3350,401,732,344,72,39,2536,1399,512,28,610,88,1036,2856
"Ofaveolata005572",146,113,75,30,277,69,87,30,59,7,17,201,92,36,5,67,6,88,286
"Ofaveolata005577",14,1,5,0,8,12,8,6,6,0,2,38,14,1,1,2,5,11,74
"Ofaveolata005578",64,11,13,3,89,35,4,0,3,0,5,117,56,2,0,18,2,36,189
"Ofaveolata005579",13,10,5,0,20,13,8,5,0,0,0,29,21,0,0,0,0,10,30
"Ofaveolata005580",51,7,9,16,57,44,24,4,9,0,0,64,17,5,4,40,1,21,182
"Ofaveolata005581",58,8,14,3,47,25,31,20,4,1,0,86,50,20,9,30,2,12,137
"Ofaveolata005583",3,0,2,1,0,3,6,2,0,0,0,11,6,17,0,5,0,1,8
"Ofaveolata005584",82,31,31,12,112,78,56,42,11,0,3,128,79,26,2,27,6,39,196
"Ofaveolata005586",1511,425,459,143,1234,1247,571,278,170,44,55,1562,989,348,79,501,32,533,2969
"Ofaveolata005588",46,6,20,16,58,61,33,15,5,3,6,53,21,23,13,46,0,23,100
"Ofaveolata005593",31,5,19,0,47,34,12,13,11,0,7,60,28,1,0,4,0,21,116
"Ofaveolata005594",41,35,2,0,57,19,22,0,1,0,12,11,11,3,14,10,0,6,20
"Ofaveolata005595",5,4,0,0,16,3,2,0,0,0,0,21,11,0,0,1,1,4,34
"Ofaveolata005596",35,5,12,12,40,39,43,9,0,2,5,41,22,13,0,28,5,15,94
"Ofaveolata005599",8,0,1,12,1,2,0,1,4,0,0,6,5,0,0,2,0,1,15
"Ofaveolata005606",10,2,548,39,20,357,86,440,82,71,0,794,631,541,10,167,29,386,2233
"Ofaveolata005607",15,1,5,0,14,11,11,4,0,9,1,32,7,3,14,5,0,14,35
"Ofaveolata005608",306,98,209,78,497,292,266,121,86,26,14,598,401,117,55,179,9,265,714
"Ofaveolata005611",5,0,0,0,0,3,5,1,5,0,0,10,1,0,1,3,0,2,14
"Ofaveolata005614",10,5,8,0,33,12,12,10,12,0,5,55,39,7,3,4,1,8,45
"Ofaveolata005617",30,1,5,0,47,10,1,5,0,1,0,24,20,1,0,2,0,3,34
"Ofaveolata005618",67,56,24,12,123,92,60,19,31,19,2,95,63,13,14,32,1,39,122
"Ofaveolata005620",1,6,0,0,4,2,0,5,1,0,0,14,5,0,0,0,0,5,13
"Ofaveolata005623",57,13,18,17,63,40,41,7,6,5,3,42,40,28,6,8,0,20,79
"Ofaveolata005624",2,0,13,0,9,14,18,7,21,0,0,32,17,5,0,23,4,21,59
"Ofaveolata005625",12,0,6,5,19,21,20,2,1,0,0,23,7,9,2,13,0,1,21
"Ofaveolata005626",16,0,3,10,45,7,6,1,0,0,0,37,11,2,0,4,0,15,78
"Ofaveolata005627",11,5,2,0,30,18,2,2,0,0,0,21,10,0,2,5,0,5,39
"Ofaveolata005631",29,3,32,26,29,44,40,5,19,2,4,46,22,10,2,6,0,26,46
"Ofaveolata005632",1,0,2,0,11,1,0,0,0,0,0,8,3,0,0,0,0,1,15
"Ofaveolata005634",12,9,8,8,10,9,12,3,11,0,2,34,14,14,17,5,0,13,37
"Ofaveolata005635",107,86,40,30,89,71,68,21,17,20,25,130,82,40,14,102,4,59,204
"Ofaveolata005637",3,0,1,0,7,2,4,0,0,0,0,13,5,0,0,0,0,0,22
"Ofaveolata005638",15,1,14,0,21,3,4,13,0,0,6,50,23,5,6,10,2,17,27
"Ofaveolata005653",95,41,41,20,110,122,25,20,9,1,2,215,121,15,10,30,0,63,252
"Ofaveolata005654",9,10,5,5,18,9,7,5,1,0,0,24,20,4,1,0,1,6,13
"Ofaveolata005656",72,14,28,6,66,45,36,12,11,0,0,53,39,9,4,11,0,22,172
"Ofaveolata005657",16,25,16,27,11,17,20,10,15,0,3,51,27,12,12,19,5,19,86
"Ofaveolata005659",47,16,20,20,190,51,128,19,11,0,4,56,28,6,0,0,0,9,62
"Ofaveolata005661",61,18,27,14,214,88,85,18,7,5,0,95,46,22,10,24,5,37,206
"Ofaveolata005662",1,4,4,7,4,5,3,1,2,2,0,11,11,6,0,0,4,4,7
"Ofaveolata005663",0,0,1,0,9,9,23,3,8,0,1,36,22,11,0,7,0,11,38
"Ofaveolata005666",32,2,7,11,37,25,5,7,10,2,9,88,35,5,0,8,1,18,150
"Ofaveolata005667",45,23,3,5,44,44,13,4,1,5,1,67,33,4,1,20,1,31,164
"Ofaveolata005668",23,0,3,5,30,19,4,4,2,0,0,31,17,7,0,18,1,2,75
"Ofaveolata005670",3,0,0,0,10,2,0,1,0,0,0,5,2,1,0,0,0,1,11
"Ofaveolata005671",32,7,8,1,114,20,7,3,4,0,2,25,18,3,0,1,0,6,34
"Ofaveolata005675",8,3,1,0,3,13,1,1,0,0,2,13,6,2,0,0,0,5,12
"Ofaveolata005676",15,9,2,6,15,20,21,5,9,3,0,25,9,4,0,3,4,11,49
"Ofaveolata005677",20,0,7,1,35,12,17,3,10,0,3,30,17,0,6,8,0,7,45
"Ofaveolata005678",90,44,50,38,114,88,79,68,74,29,3,113,54,38,9,75,0,49,172
"Ofaveolata005679",30,15,16,0,36,17,10,3,1,0,0,58,40,6,0,29,0,13,70
"Ofaveolata005680",122,34,16,13,405,57,29,7,26,0,3,79,61,39,2,38,0,38,102
"Ofaveolata005685",6,0,0,0,6,5,3,0,1,0,0,17,15,1,1,0,0,1,3
"Ofaveolata005691",9,4,5,0,11,11,4,6,0,0,0,21,17,1,0,0,0,6,37
"Ofaveolata005692",82,18,38,10,90,72,27,14,14,0,1,141,65,11,0,25,0,37,209
"Ofaveolata005694",12,4,1,1,4,6,4,12,0,0,0,14,6,0,1,10,0,9,20
"Ofaveolata005697",76,9,29,7,104,54,20,11,23,1,3,166,63,11,12,31,1,52,76
